feature,importance_gini
NAME_TYPE_SUITE_Unaccompanied,0.001184433849555747
POS_SK_DPD_DEF_MAX,0.0011831412203674003
AMT_REQ_CREDIT_BUREAU_YEAR,0.0011446029342657429
DAYS_EMPLOYED,0.0011314047653772717
YEARS_BEGINEXPLUATATION_MEDI,0.001126331083243106
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,0.0011019885434205544
LIVINGAPARTMENTS_MODE,0.0010969916483603533
PREV_AMT_DOWN_PAYMENT_MIN,0.001093282933767447
PREV_CHANNEL_TYPE_Country-wide_MEAN,0.0010904038645810949
REGION_RATING_CLIENT,0.0010881748066426888
BURO_AMT_CREDIT_SUM_DEBT_MEAN,0.0010861136796277862
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,0.0010257978376427676
NONLIVINGAREA_AVG,0.0010237516472933429
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.001023152732948793
APARTMENTS_MODE,0.0010112524098092517
PREV_PRODUCT_COMBINATION_Cash Street: high_MEAN,0.0009774330071875075
PREV_CODE_REJECT_REASON_HC_MEAN,0.0009720016294211893
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,0.000948478205103435
BURO_AMT_CREDIT_SUM_DEBT_SUM,0.0009460480735275692
REGION_RATING_CLIENT_W_CITY,0.0009163258921480659
BURO_DAYS_CREDIT_MIN,0.000903343737436218
CNT_FAM_MEMBERS,0.0008649940850212741
ENTRANCES_MODE,0.0008621760833299034
FLOORSMAX_MEDI,0.0008608498673189784
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,0.0008478957803608275
INSTAL_DPD_MEAN,0.0008332748181416856
COMMONAREA_AVG,0.0008285625052111457
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,0.0008183364575009611
PREV_NAME_SELLER_INDUSTRY_Consumer electronics_MEAN,0.0007995277694125403
BASEMENTAREA_MODE,0.0007825791962585146
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,0.00077518945173729
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,0.0007554417663626963
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,0.0007463382051503971
PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,0.0007435645431312666
INSTAL_DPD_MAX,0.0007249574056557765
BURO_CREDIT_TYPE_Credit card_MEAN,0.0007052213628947867
REFUSED_AMT_CREDIT_MIN,0.0006978721580723716
NAME_HOUSING_TYPE_With parents,0.0006757927098414645
PREV_PRODUCT_COMBINATION_POS household with interest_MEAN,0.0006688158238509845
PREV_APP_CREDIT_PERC_MIN,0.0006223200811182818
AMT_INCOME_TOTAL,0.0006089969731534097
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0.0005522809987121849
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0005522100736555551
NONLIVINGAREA_MEDI,0.0005209115522166444
OWN_CAR_AGE,0.000507152990529703
YEARS_BUILD_AVG,0.0005055198025029514
REFUSED_AMT_DOWN_PAYMENT_MIN,0.0005015737968420519
POS_SK_DPD_MEAN,0.0004845854060684855
FLOORSMAX_MODE,0.00048122149418648155
NAME_FAMILY_STATUS_Single / not married,0.00047452121568012853
REFUSED_CNT_PAYMENT_SUM,0.00046866781641593164
PREV_AMT_CREDIT_MIN,0.000461235444254632
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.00045254879110526565
ENTRANCES_AVG,0.0004459445687993165
APPROVED_APP_CREDIT_PERC_MIN,0.00044543522811582006
ACTIVE_DAYS_CREDIT_MEAN,0.00044462643616104635
LANDAREA_MODE,0.00044431153985184104
REFUSED_HOUR_APPR_PROCESS_START_MAX,0.0004366242186448811
LIVINGAPARTMENTS_AVG,0.0004321485357594812
ANNUITY_INCOME_PERC,0.0004153875358966956
APPROVED_AMT_APPLICATION_MIN,0.00040872966475045594
POS_SK_DPD_MAX,0.0004070342423681958
PREV_AMT_DOWN_PAYMENT_MAX,0.0004018638672587518
PAYMENT_RATE,0.00039952548393818257
NAME_TYPE_SUITE_Family,0.0003967216666557901
PREV_AMT_APPLICATION_MIN,0.0003962944811652173
PREV_CHANNEL_TYPE_Stone_MEAN,0.000395987503672647
COMMONAREA_MODE,0.0003959551975998152
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,0.0003934759205123177
PREV_NAME_PORTFOLIO_XNA_MEAN,0.00038965370167276574
ENTRANCES_MEDI,0.000385842371544872
FLOORSMIN_MODE,0.00038137492443499933
NAME_FAMILY_STATUS_Civil marriage,0.00037629075441191585
BURO_CREDIT_TYPE_Consumer credit_MEAN,0.00037317211644834176
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,0.0003636101290642864
POS_COUNT,0.0003611756303772872
APPROVED_RATE_DOWN_PAYMENT_MAX,0.0003601210369807121
POS_MONTHS_BALANCE_SIZE,0.0003594153825693778
YEARS_BUILD_MODE,0.000358167138627829
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0003570009776088458
OCCUPATION_TYPE_Sales staff,0.0003500372729786116
PREV_RATE_DOWN_PAYMENT_MAX,0.00034457947737963996
BURO_DAYS_CREDIT_ENDDATE_MIN,0.00033639351794908194
YEARS_BEGINEXPLUATATION_AVG,0.00033637282976986576
NONLIVINGAPARTMENTS_MODE,0.0003346270767262686
ELEVATORS_AVG,0.0003308755472067016
PREV_AMT_ANNUITY_MAX,0.0003301478797736237
COMMONAREA_MEDI,0.00032695163005731586
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,0.0003126600480987729
BURO_DAYS_CREDIT_MEAN,0.0003097276745791897
ELEVATORS_MODE,0.00030866325182178693
BURO_CREDIT_ACTIVE_Closed_MEAN,0.0003075359092862798
